angelo_field_dat.csv,,,,,,,,,,,,,,
George Allen,,,,,,,,,,,,,,
"June, 2015",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"This table is field data collected in the Elder Creek Watershed upstream of the Paralyze tributary junction in the Angelo Coast Range Reserve in Mendocino County, California",,,,,,,,,,,,,,
This data set was created by George Allen and Arik Tashie by pacing along streams and taking wetted stream width measurements every ~5 meters with a tape measure,,,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
columns:,,,,,,,,,,,,,,
stream_segment_ID,Internal and external stream segments usually seperated by nodes. Order is arbitrary,,,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,,,
,B,bushes,,,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done a few times in Konza where poison ivy was too dense to measure),,,,,,,,,,,,
,G,tall grass,,,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,,,
notes,misc notes,,,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,,,
date,date,,,,,,,,,,,,,
stream_order,strahler stream order (no 0 order streams),,,,,,,,,,,,,
UTM_X,UTM zone 10N easting (locations are approximate),,,,,,,,,,,,,
UTM_Y,UTM zone 10N northing (locations are approximate),,,,,,,,,,,,,
elev_m,approximate elevations in meters,,,,,,,,,,,,,
acc_area_m2,approximate upstream accumulation area in square meters,,,,,,,,,,,,,
slope,approximate slope (unitless),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pacing 100 ft streamwise length:,,,,,,,,,,,,,,
Pacer,direction,paces_run1,paces_run2,paces_run3,paces_run4,paces_run5,paces_run6,,,,,,,
Arik,Upstream,43,43,45,41,45,43,,,,,,,
Arik,Downstream,45,46,45,45,48,48,,,,,,,
George,Upstream,47,47,45,47,48,45,,,,,,,
George,Downstream,46,47,46,45,47,45,,,,,,,
,,,,,,,,,,,,,,
"runs 1,2,3 were done in a dry 1st order stream",,,,,,,,,,,,,,
"runs 4,5,6 were done in a wet 4th order stream",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
stream_segment_ID,direction,flowing_width,percent_nonflow,code,notes,environment,measurer_name,date,stream_order,UTM_X,UTM_Y,elev_m,acc_area_m2,slope
S1,Downstream,78,,,A long (4 hour) walk to the trunk streamhead started off Day 1.,Forest,Arik,6/1/15,1,450329.944248,4395337.37921,1096.43115234,236000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450329.37962,4395345.45696,1095.15759277,236000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450329.37962,4395345.45696,1095.15759277,236000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450328.471475,4395347.0188,1095.15759277,236000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450327.333958,4395350.68295,1095.15759277,236000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450325.285,4395353.68682,1095.96765137,236900,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450325.485616,4395357.15153,1095.96765137,236900,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450327.224995,4395360.88588,1094.04748535,237400,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450325.837544,4395364.74276,1094.04748535,237400,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450325.248911,4395368.08271,1094.01098633,237400,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450323.262765,4395371.66533,1092.78405762,243000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450322.685465,4395374.83505,1092.78405762,243000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450322.653138,4395378.40271,1092.35766602,244100,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450319.60443,4395381.53935,1092.35766602,244100,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450315.9135,4395383.58268,1093.05395508,244100,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450315.065209,4395386.91021,1093.05395508,246800,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450315.327126,4395390.7864,1091.390625,246800,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450313.30419,4395393.67568,1091.390625,246800,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450311.980822,4395396.48962,1091.390625,246800,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450310.803025,4395400.04704,1090.06140137,252000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450308.803763,4395403.13661,1090.06140137,252000,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450307.600768,4395406.85368,1089.1965332,253500,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450308.571595,4395410.98568,1089.1965332,253500,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450310.410182,4395413.59628,1089.1965332,253500,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450310.522336,4395417.79098,1089.05908203,255300,-0.1707752874
S1,Downstream,0,,,,Forest,Arik,6/1/15,1,450309.224162,4395423.30827,1089.05908203,255300,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450308.221299,4395424.79025,1089.03918457,259600,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450307.474828,4395428.57696,1087.83740234,259600,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450305.152153,4395432.14833,1087.83740234,259600,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450304.696284,4395435.82639,1085.47851563,263000,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450303.587113,4395439.53497,1085.47851563,263000,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450301.128464,4395442.73251,1083.31347656,266400,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450300.561661,4395446.30374,1083.31347656,266400,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450299.770994,4395450.55956,1083.31347656,266400,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450299.369696,4395454.07222,1081.62658691,270300,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450299.264642,4395457.8984,1081.62658691,270300,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450297.957368,4395461.26331,1079.30639648,274800,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450294.796828,4395463.60411,1079.30639648,274800,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450292.341305,4395466.50118,1079.30639648,274800,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450289.478855,4395469.42742,1076.85583496,278300,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450287.194698,4395472.5356,1078.32983398,278300,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450286.85731,4395476.02731,1078.32983398,278300,-0.1707752874
S1,Downstream,0,,,,Forest,George,6/1/15,1,450285.306054,4395479.68193,1075.20617676,282400,-0.1707752874
