v40_field_data.csv,,,,,,,,,,,,,
Eric Barefoot,,,,,,,,,,,,,
"July, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
"This table is field data collected in the upper reaches of the V40 stream in the former Karamea Mine near Denniston, New Zealand.",,,,,,,,,,,,,
This data set was created by Eric Barefoot by pacing along streams and taking wetted stream width measurements every ~5 meters with a tape measure.,,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,,
Measurement interval was demarcated with length of rope ~5 meters long. ,,,,,,,,,,,,,
GPS waypoints were taken at nodes in the stream network.,,,,,,,,,,,,,
,,,,,,,,,,,,,
columns:,,,,,,,,,,,,,
stream_segment_ID,Internal and external stream segments usually seperated by nodes. Order is arbitrary,,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,,
,B,bushes,,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done where dangerous vegetation was too dense to measure),,,,,,,,,,,
,G,tall grass,,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,,
,M,Marshy ground with exensive standing water,,,,,,,,,,,
notes,misc notes,,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,,
date,date,,,,,,,,,,,,
stream_order,strahler stream order (no 0 order streams),,,,,,,,,,,,
UTM_X,UTM zone 59S easting (locations are approximate),,,,,,,,,,,,
UTM_Y,UTM zone 59S northing (locations are approximate),,,,,,,,,,,,
elev_m,approximate elevations in meters,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
stream_segment_ID,direction,flowing_width,percent_nonflow,code,notes,environment,measurer_name,date,stream_order,GPS.Waypoint,UTM_X,UTM_Y,elev_m
S1,Downstream,5,10,M,,Grassland,Eric,28-Jun-15,1,373,564427.294628,5375203.87553,738.275268555
S1,Downstream,14,5,M,,Grassland,Eric,28-Jun-15,1,,564432.149311,5375205.11033,737.645141602
S1,Downstream,3,,,cut into moss,Grassland,Eric,28-Jun-15,1,,564432.955977,5375209.14783,737.300964355
S1,Downstream,5,,,,Grassland,Eric,28-Jun-15,1,,564434.084131,5375213.10937,736.75201416
