"","stream_segment_ID","direction","flowing_width","percent_nonflow","code","notes","environment","measurer_name","date","stream_order","UTM_X","UTM_Y","elev_m","acc_m2","slopes","r_param","w_model"
"1","S1","Downstream",17.78,0,"","~20 meters down from channel head","Forest","George","09/27/15",1,673000.746377,3989725.23729,612,15660,-0.138562848341748,8.36873679514974,30.93
"2","S1","Downstream",34.29,10,"","","Forest","George","09/27/15",1,673003.95447,3989723.14227,612,15660,-0.138562848341748,5.20676565752365,25.27
"3","S1","Downstream",27.432,10,"","","Forest","George","09/27/15",1,673007.514522,3989721.49645,611,15660,-0.138562848341748,1.66792014543898,10.95
"5","S1","Downstream",30.48,0,"","","Forest","George","09/27/15",1,673014.020595,3989717.68507,609,17604,-0.138562848341748,6.21184677677229,28.82
"6","S1","Downstream",33.02,0,"","","Forest","George","09/27/15",1,673017.314183,3989716.4243,607,17604,-0.138562848341748,8.16530385194346,32.17
"7","S1","Downstream",10.16,0,"","","Forest","George","09/27/15",1,673019.329268,3989713.60105,611,17604,-0.138562848341748,1.87118152156472,12.76
"8","S1","Downstream",38.1,0,"","","Forest","George","09/27/15",1,673023.134436,3989711.3964,609,20052,-0.138562848341748,5.45516878529452,28.59
"9","S1","Downstream",12.192,20,"","","Forest","George","09/27/15",1,673027.322105,3989710.26758,609,20088,-0.138562848341748,6.27537718764506,30.55
"11","S1","Downstream",45.72,10,"","","Forest","George","09/27/15",1,673033.770195,3989705.57658,611,21348,-0.138562848341748,6.7793505047448,32.37
"12","S1","Downstream",25.4,0,"","","Forest","George","09/27/15",1,673037.42839,3989703.76778,612,21348,-0.138562848341748,3.67572273360565,23.41
"13","S1","Downstream",32.004,10,"","","Forest","George","09/27/15",1,673040.890754,3989702.09885,612,21348,-0.138562848341748,6.15671544149518,31.05
"14","S1","Downstream",22.86,10,"","","Forest","George","09/27/15",1,673044.229562,3989700.9999,611,21348,-0.138562848341748,5.2488030497916,28.76
"15","S1","Downstream",21.336,30,"","","Forest","George","09/27/15",1,673047.859839,3989702.6302,609,21492,-0.138562848341748,1.02795954793692,7.62
"16","S1","Downstream",7.112,60,"","","Forest","George","09/27/15",1,673050.890777,3989706.09791,606,21492,-0.138562848341748,3.15197392948903,21.14
"19","S1","Downstream",33.02,0,"","","Forest","George","09/27/15",1,673061.757565,3989704.89746,603,23256,-0.138562848341748,3.2241003382951,22.16
"29","S1","Downstream",7.62,0,"","","Forest","George","09/27/15",1,673100.84408,3989694.662,597,33156,-0.138562848341748,5.98243029834703,36.64
"36","S1","Downstream",25.4,0,"","","Forest","George","09/27/15",1,673127.12891,3989690.33872,590,35172,-0.138562848341748,1.38595706340857,12.48
"37","S1","Downstream",2.54,0,"","","Forest","George","09/27/15",1,673131.260346,3989688.28827,590,35208,-0.138562848341748,1.24969741515815,11.23
"39","S1","Downstream",5.08,0,"","","Forest","George","09/27/15",1,673138.7706,3989685.78437,591,41472,-0.138562848341748,7.58904468128458,44.4
"42","S1","Downstream",20.574,10,"","","Forest","George","09/27/15",1,673146.877456,3989676.34127,587,42732,-0.138562848341748,8.26147143659182,46.4
"43","S1","Downstream",15.24,0,"","","Forest","George","09/27/15",1,673150.525438,3989675.52657,585,42732,-0.138562848341748,8.26929510710761,46.41
"45","S1","Downstream",3.048,80,"","","Forest","George","09/27/15",1,673156.064802,3989669.41861,585,42768,-0.138562848341748,1.83447547652759,17.69
"46","S1","Downstream",53.34,30,"","","Forest","George","09/27/15",1,673158.145036,3989666.29337,582,44172,-0.138562848341748,2.14529040828347,20.66
"48","S1","Downstream",58.42,0,"","","Forest","George","09/27/15",1,673166.454929,3989665.31879,583,44172,-0.138562848341748,2.94828287605196,26.8
"49","S1","Downstream",10.16,0,"","","Forest","George","09/27/15",1,673170.683572,3989666.01122,581,44208,-0.138562848341748,9.04972637072206,48.56
"50","S1","Downstream",26.67,30,"","","Forest","George","09/27/15",1,673174.405494,3989666.13142,581,48384,-0.138562848341748,5.04507918329909,39.23
"51","S1","Downstream",23.114,30,"","","Forest","George","09/27/15",1,673178.919574,3989666.85723,581,48420,-0.138562848341748,6.44509991002269,44.2
"52","S1","Downstream",17.78,0,"","","Forest","George","09/27/15",1,673183.305665,3989666.44144,579,48420,-0.138562848341748,6.11405295412987,43.16
