"","stream_segment_ID","direction","flowing_width","percent_nonflow","code","notes","environment","measurer_name","date","stream_order","UTM_X","UTM_Y","elev_m","acc_m2","slopes","r_param","w_model"
"1","S1","Downstream",198.12,0,"","A long (4 hour) walk to the trunk streamhead started off Day 1.","Forest","Arik","6/1/15",1,450329.944248,4395337.37921,1096.43115234,236000,-0.17077528736988,6.90261220792308,88.32
"64","S1","Downstream",17.78,0,"","","Forest","George","6/1/15",1,450247.704849,4395536.99663,1057.95251465,308000,-0.17077528736988,2.65846667159349,55.62
"84","S1","Downstream",15.24,0,"","","Forest","George","6/1/15",1,450203.642277,4395573.38564,1047.07531738,320400,-0.17077528736988,1.96283395518549,43.58
"90","S1","Downstream",10.16,0,"","","Forest","George","6/1/15",1,450197.404332,4395595.30913,1043.24658203,329000,-0.17077528736988,8.72953808237799,110.56
"91","S1","Downstream",43.18,0,"","","Forest","George","6/1/15",1,450195.054642,4395597.81764,1040.99084473,332300,-0.17077528736988,9.92871936713345,115.78
"92","S1","Downstream",38.1,0,"","","Forest","George","6/1/15",1,450194.475368,4395602.14036,1040.99084473,383900,-0.17077528736988,8.88632517494261,118.48
"93","S1","Downstream",17.78,0,"","","Forest","George","6/1/15",1,450193.018977,4395605.51436,1040.99084473,383900,-0.17077528736988,7.58173272595741,111.82
"94","S1","Downstream",12.7,0,"","","Forest","George","6/1/15",1,450190.578763,4395608.71038,1038.48071289,383900,-0.17077528736988,6.0960083049722,101.94
"95","S1","Downstream",34.29,10,"","","Forest","George","6/1/15",1,450188.571924,4395614.2396,1039.24121094,383900,-0.17077528736988,9.93775374698453,122.87
"96","S1","Downstream",66.04,0,"MC","","Forest","George","6/1/15",1,450189.060329,4395616.0034,1034.45654297,387400,-0.17077528736988,3.80575909325853,78.91
"97","S1","Downstream",17.78,0,"MC","","Forest","George","6/1/15",1,450189.413416,4395621.22676,1035.0020752,387400,-0.17077528736988,9.82750056684017,122.9
"98","S1","Downstream",36.576,10,"","","Forest","George","6/1/15",1,450189.597723,4395624.40156,1030.84899902,390800,-0.17077528736988,4.29329128423706,85.35
"99","S1","Downstream",33.02,0,"MC","","Forest","George","6/1/15",1,450189.35047,4395627.42798,1030.84899902,390800,-0.17077528736988,1.41142050363123,34.21
"101","S1","Downstream",83.82,0,"","","Forest","George","6/1/15",1,450185.960266,4395634.01203,1023.91125488,391100,-0.17077528736988,7.60516701219603,112.81
"102","S1","Downstream",30.48,0,"","","Forest","George","6/1/15",1,450184.51955,4395637.75286,1023.91125488,391100,-0.17077528736988,9.03955248789862,120.08
"103","S1","Downstream",17.78,0,"","","Forest","George","6/1/15",1,450182.437655,4395640.62746,1023.91125488,391100,-0.17077528736988,7.73585666366853,113.55
"104","S1","Downstream",30.48,0,"","","Forest","George","6/1/15",1,450179.308509,4395642.94125,1020.27203369,400300,-0.17077528736988,4.01992053096183,82.79
"105","S1","Downstream",73.66,0,"","","Forest","George","6/1/15",1,450178.431788,4395647.02671,1020.27203369,400300,-0.17077528736988,8.67501839133911,119.53
"106","S1","Downstream",27.94,0,"","","Forest","George","6/1/15",1,450178.390889,4395649.63115,1020.27203369,400300,-0.17077528736988,8.49533365969546,118.65
"107","S1","Downstream",78.74,0,"","","Forest","George","6/1/15",1,450176.997219,4395654.74396,1017.01293945,401700,-0.17077528736988,1.31647042604163,32.2
"108","S1","Downstream",40.64,0,"","","Forest","George","6/1/15",1,450175.18238,4395657.51505,1017.01293945,401700,-0.17077528736988,2.1682569780387,52.06
"109","S1","Downstream",43.18,0,"","","Forest","George","6/1/15",1,450173.301832,4395659.43273,1017.01293945,401700,-0.17077528736988,1.28864088561386,31.5
"110","S1","Downstream",60.96,0,"","","Forest","George","6/1/15",1,450173.247519,4395665.72057,1014.74707031,417200,-0.17077528736988,8.44794433843344,120.44
"111","S1","Downstream",65.532,40,"","","Forest","George","6/1/15",1,450173.386746,4395668.08931,1014.74707031,417200,-0.17077528736988,1.98998668207787,48.92
"112","S1","Downstream",87.122,30,"","","Forest","George","6/1/15",1,450173.033131,4395671.19734,1013.20495605,417200,-0.17077528736988,5.75649017235264,102.63
