"","stream_segment_ID","direction","flowing_width","percent_nonflow","code","notes","environment","measurer_name","date","stream_order","UTM_X","UTM_Y","elev_m","acc_m2","slopes","r_param","w_model"
"1","S1","Downstream",30.48,0,"","8 am, 65 degrees F, breasy pleasant, wet. Rained last night and heavy rain during the past two weeks","Prairie","George","5/25/15",1,711605.122301,4329306.76826,434.732025146,6956,-0.0641762137529364,3.42144125979394,21.81
"2","S1","Downstream",7.62,0,"","","Prairie","George","5/25/15",1,711604.287545,4329310.39667,434.274017334,7536,-0.0641762137529364,4.26828616647981,23.99
"3","S1","Downstream",15.24,0,"","","Prairie","George","5/25/15",1,711602.833474,4329315.15746,433.37802124,7688,-0.0641762137529364,3.05020119645633,21.9
"4","S1","Downstream",7.62,0,"DM","","Prairie","George","5/25/15",1,711600.962484,4329318.98733,432.600006104,8116,-0.0641762137529364,3.15815630392171,22.62
"5","S1","Downstream",10.16,0,"DM","","Prairie","George","5/25/15",1,711598.920214,4329323.46847,431.25100708,8656,-0.0641762137529364,9.81495855958201,30.13
"6","S1","Downstream",10.16,0,"DM","","Prairie","George","5/25/15",1,711598.116628,4329327.43739,430.499023438,9336,-0.0641762137529364,9.08799864142202,30.71
"7","S1","Downstream",22.86,0,"DM","","Prairie","George","5/25/15",1,711596.860211,4329331.90494,430.425018311,10176,-0.0641762137529364,6.5227108579129,29.95
"8","S1","Downstream",10.16,0,"","","Prairie","George","5/25/15",1,711594.02241,4329335.18149,429.816009521,10460,-0.0641762137529364,2.48697126470506,23.09
"9","S1","Downstream",41.148,10,"","","Prairie","George","5/25/15",1,711592.42283,4329339.22904,429.712005615,10664,-0.0641762137529364,8.64928521518596,32.17
"10","S1","Downstream",32.512,20,"","","Prairie","George","5/25/15",1,711590.608489,4329343.09653,429.295013428,10800,-0.0641762137529364,1.77117443853058,20.62
"11","S1","Downstream",12.7,0,"","","Prairie","George","5/25/15",1,711588.047578,4329346.11408,428.953033447,14392,-0.0641762137529364,9.85623744409531,37.13
"12","S1","Downstream",43.18,0,"","","Prairie","George","5/25/15",1,711586.526862,4329350.35125,429.189025879,14424,-0.0641762137529364,2.22520866780542,25.17
"13","S1","Downstream",22.86,0,"","","Prairie","George","5/25/15",1,711583.096806,4329353.06203,428.676025391,15236,-0.0641762137529364,3.05117627163418,28.75
"14","S1","Downstream",50.8,0,"","","Prairie","George","5/25/15",1,711580.095285,4329355.36639,428.222015381,15292,-0.0641762137529364,6.11460061720572,34.86
"15","S1","Downstream",55.88,0,"","","Prairie","George","5/25/15",1,711576.246103,4329357.5304,427.844024658,15520,-0.0641762137529364,8.90449433098547,37.68
"16","S1","Downstream",48.26,0,"","","Prairie","George","5/25/15",1,711573.834541,4329359.89497,427.893005371,15620,-0.0641762137529364,8.9138112438377,37.79
"17","S1","Downstream",78.74,0,"","","Prairie","George","5/25/15",1,711570.193938,4329362.89299,427.994018555,19888,-0.0641762137529364,2.01884068385698,27.51
"18","S1","Downstream",43.18,0,"","","Prairie","George","5/25/15",1,711568.272325,4329366.08049,427.865020752,19916,-0.0641762137529364,4.07873920584098,35.02
"19","S1","Downstream",40.64,0,"","","Prairie","George","5/25/15",1,711564.935746,4329369.84634,427.441009521,20284,-0.0641762137529364,8.68718892941251,41.87
"20","S1","Downstream",71.12,0,"","","Prairie","George","5/25/15",1,711563.20638,4329373.28182,426.923034668,21236,-0.0641762137529364,3.04675940261222,32.79
"21","S1","Downstream",22.86,0,"","S2 was deleted so S3 was merged into S1 (S2 and S3 should be missing here)","Prairie","George","5/25/15",1,711561.989957,4329378.05235,426.553009033,21936,-0.0641762137529364,6.19203785434365,40.48
"22","S1","Downstream",101.6,0,"","","Prairie","George","5/25/15",1,711560.024013,4329382.08893,426.262023926,22312,-0.0641762137529364,8.35465468233451,43.24
"23","S1","Downstream",46.736,20,"","","Prairie","George","5/25/15",1,711558.401008,4329386.4061,425.838012695,23140,-0.0641762137529364,1.0595610474702,22.63
"24","S1","Downstream",30.48,0,"","","Prairie","George","5/25/15",1,711558.111447,4329390.5587,426.305023193,24080,-0.0641762137529364,5.74038051697426,41.32
"25","S1","Downstream",38.1,0,"","","Prairie","George","5/25/15",1,711553.659148,4329390.89918,426.232025146,24648,-0.0641762137529364,3.88547369767912,37.6
"26","S1","Downstream",45.72,0,"","","Prairie","George","5/25/15",1,711549.866342,4329392.61653,424.983032227,25316,-0.0641762137529364,8.63294779416174,45.79
"27","S1","Downstream",20.32,0,"","","Prairie","George","5/25/15",1,711549.763341,4329396.8137,424.645019531,25360,-0.0641762137529364,8.30343055655248,45.51
"28","S1","Downstream",25.4,0,"","","Prairie","George","5/25/15",1,711549.836462,4329401.29818,426.00302124,25476,-0.0641762137529364,9.99980485881679,47.01
"29","S1","Downstream",43.18,0,"","","Prairie","George","5/25/15",1,711545.978223,4329403.655,424.1590271,25492,-0.0641762137529364,8.65165520249866,45.93
"30","S1","Downstream",13.97,50,"","","Prairie","George","5/25/15",1,711545.221022,4329407.66738,424.317016602,26288,-0.0641762137529364,5.63701032521203,42.64
"31","S1","Downstream",35.56,0,"","","Prairie","George","5/25/15",1,711543.219762,4329412.04512,424.264007568,27348,-0.0641762137529364,5.55389474262483,43.17
"32","S1","Downstream",20.32,0,"","","Prairie","George","5/25/15",1,711541.337699,4329413.99954,423.668029785,27396,-0.0641762137529364,9.65413404884748,48.17
"33","S1","Downstream",17.78,0,"","","Prairie","George","5/25/15",1,711538.138341,4329417.62448,422.62902832,27840,-0.0641762137529364,1.73247594386339,29.52
"34","S1","Downstream",27.94,0,"","","Prairie","George","5/25/15",1,711535.889576,4329421.39897,422.973022461,31008,-0.0641762137529364,7.25002317433245,48.16
"35","S1","Downstream",55.88,0,"","","Prairie","George","5/25/15",1,711532.673452,4329424.08455,422.914031982,31044,-0.0641762137529364,8.51873214682564,49.65
"36","S1","Downstream",68.58,0,"","","Prairie","George","5/25/15",1,711528.531812,4329426.30679,422.384033203,32380,-0.0641762137529364,7.67202959838323,49.56
"37","S1","Downstream",24.384,20,"","","Prairie","George","5/25/15",1,711526.860514,4329429.7374,423.021026611,32816,-0.0641762137529364,5.457043037517,46.28
"38","S1","Downstream",45.72,0,"","","Prairie","George","5/25/15",1,711523.305104,4329430.35808,422.116027832,33020,-0.0641762137529364,4.69377506384626,44.64
"39","S1","Downstream",48.26,0,"","","Prairie","George","5/25/15",1,711521.009929,4329434.7699,422.346008301,33420,-0.0641762137529364,2.17532688914798,34.7
"40","S1","Downstream",40.64,0,"","","Prairie","George","5/25/15",1,711517.956378,4329438.5967,422.716033936,34572,-0.0641762137529364,7.4758245756384,50.64
"41","S1","Downstream",45.72,0,"","","Prairie","George","5/25/15",1,711513.997941,4329440.20087,422.286010742,34948,-0.0641762137529364,5.21715280949138,46.95
"42","S1","Downstream",35.56,0,"","","Prairie","George","5/25/15",1,711509.799937,4329439.86523,421.489013672,35376,-0.0641762137529364,2.5759429037571,37.84
"43","S1","Downstream",15.24,0,"","","Prairie","George","5/25/15",1,711505.499663,4329441.13519,422.645019531,35856,-0.0641762137529364,8.98102289438248,53.14
"44","S1","Downstream",33.02,0,"","","Prairie","George","5/25/15",1,711500.474708,4329441.25024,420.958007813,37320,-0.0641762137529364,3.19211959745735,41.7
"45","S1","Downstream",45.72,0,"","","Prairie","George","5/25/15",1,711498.633712,4329444.4577,420.993011475,37780,-0.0641762137529364,1.14500484196469,28.06
"46","S1","Downstream",30.48,0,"","","Prairie","George","5/25/15",1,711496.118588,4329447.62579,420.874023438,38332,-0.0641762137529364,4.76511844573542,47.6
"47","S1","Downstream",25.4,0,"","","Prairie","George","5/25/15",1,711491.801125,4329448.39313,420.183013916,38768,-0.0641762137529364,2.61428949260153,39.45
"48","S1","Downstream",38.1,0,"","","Prairie","George","5/25/15",1,711488.0492,4329449.32676,419.852020264,38800,-0.0641762137529364,6.46220467123203,51.51
"49","S1","Downstream",71.12,0,"","","Prairie","George","5/25/15",1,711484.017731,4329451.20044,419.79901123,41044,-0.0641762137529364,2.86750084464438,41.72
"50","S1","Downstream",25.4,0,"","","Prairie","George","5/25/15",1,711480.618853,4329453.31564,419.943023682,41348,-0.0641762137529364,7.62069731671363,54.68
"51","S1","Downstream",45.72,0,"","","Prairie","George","5/25/15",1,711477.645617,4329455.79373,419.693023682,41672,-0.0641762137529364,2.45152683439665,39.62
"52","S1","Downstream",25.146,10,"","","Prairie","George","5/25/15",1,711474.150411,4329458.40361,419.32901001,42592,-0.0641762137529364,7.24593165516853,54.8
"53","S1","Downstream",27.94,0,"","","Prairie","George","5/25/15",1,711470.538556,4329460.97037,420.491027832,42792,-0.0641762137529364,2.36274178070016,39.48
"54","S1","Downstream",30.48,0,"","","Prairie","George","5/25/15",1,711466.313171,4329461.62969,418.95602417,42944,-0.0641762137529364,6.42858010716736,53.62
"55","S1","Downstream",33.02,0,"","","Prairie","George","5/25/15",1,711463.108068,4329464.98136,419.08102417,43252,-0.0641762137529364,1.49049088545144,32.9
"56","S1","Downstream",22.86,0,"","","Prairie","George","5/25/15",1,711460.780476,4329468.75331,419.473022461,43892,-0.0641762137529364,8.53522516530938,57.22
"57","S1","Downstream",33.02,0,"","","Prairie","George","5/25/15",1,711457.228532,4329470.97602,418.603027344,43980,-0.0641762137529364,3.49002188886516,45.86
"58","S1","Downstream",12.7,0,"","","Prairie","George","5/25/15",1,711453.88315,4329475.14965,418.45703125,44492,-0.0641762137529364,8.72820915887132,57.76
"59","S1","Downstream",78.74,0,"","","Prairie","George","5/25/15",1,711451.621231,4329478.41165,418.219024658,44764,-0.0641762137529364,5.37029121140949,52.27
"60","S1","Downstream",43.18,0,"","","Prairie","George","5/25/15",1,711447.390219,4329481.1679,418.414031982,45852,-0.0641762137529364,9.29410307947546,59.1
"61","S1","Downstream",38.1,0,"","","Prairie","George","5/25/15",1,711443.323483,4329481.24325,418.197021484,45888,-0.0641762137529364,8.72387256543152,58.49
"62","S1","Downstream",55.88,0,"","","Prairie","George","5/25/15",1,711438.754834,4329481.11049,417.654022217,46388,-0.0641762137529364,4.97039960068651,51.99
"63","S1","Downstream",30.48,0,"","","Prairie","George","5/25/15",1,711435.263273,4329483.59875,417.345031738,46644,-0.0641762137529364,6.77016982715577,56.07
"64","S1","Downstream",78.74,0,"","","Prairie","George","5/25/15",1,711431.61764,4329487.59169,417.509033203,63412,-0.0641762137529364,3.93173679918982,55.14
"65","S4","Upstream",5.08,0,"","","Prairie","George","5/25/15",1,711433.248038,4329492.17729,417.732025146,16676,0.0916212188403864,8.03572480683215,37.66
"66","S4","Upstream",17.78,0,"","","Prairie","George","5/25/15",1,711436.572488,4329496.73596,418.220031738,16200,0.0916212188403864,4.08909804164432,31.52
"67","S4","Upstream",12.7,0,"","","Prairie","George","5/25/15",1,711441.163806,4329499.8399,418.695007324,16000,0.0916212188403864,3.62128778360784,30.19
"68","S4","Upstream",16.256,20,"","","Prairie","George","5/25/15",1,711445.103781,4329503.13846,419.958007813,15948,0.0916212188403864,9.80172520456836,38.29
"69","S4","Upstream",29.718,10,"","","Prairie","George","5/25/15",1,711450.692338,4329505.06687,420.014007568,15316,0.0916212188403864,5.07847183686681,32.78
"70","S4","Upstream",20.32,0,"","","Prairie","George","5/25/15",1,711455.587059,4329507.99993,420.281005859,15212,0.0916212188403864,6.3370978240855,34.52
"71","S4","Upstream",17.78,0,"","","Prairie","George","5/25/15",1,711460.842478,4329509.19363,419.937011719,14876,0.0916212188403864,5.91665767598897,33.67
"72","S4","Upstream",35.56,0,"","","Prairie","George","5/25/15",1,711461.507089,4329515.13255,421.317016602,14032,0.0916212188403864,1.83680980303325,22.16
"73","S5","Downstream",58.42,0,"","","Prairie","George","5/25/15",2,711427.832049,4329488.87666,417.12600708,63508,-0.0319138023582333,1.12170093203895,38.25
"74","S5","Downstream",63.5,0,"","","Prairie","George","5/25/15",2,711426.53974,4329492.6656,417.966033936,63520,-0.0319138023582333,1.74530551326461,44.58
"75","S5","Downstream",27.94,0,"","","Prairie","George","5/25/15",2,711422.682779,4329496.13259,417.777008057,63716,-0.0319138023582333,6.68937877262942,65.35
"76","S5","Downstream",45.72,0,"","","Prairie","George","5/25/15",2,711418.469966,4329497.69896,417.665008545,64208,-0.0319138023582333,7.22505126148462,66.49
"77","S5","Downstream",38.1,0,"","","Prairie","George","5/25/15",2,711414.070384,4329497.69162,417.546020508,64236,-0.0319138023582333,7.11015480663627,66.31
"78","S5","Downstream",53.34,0,"","","Prairie","George","5/25/15",2,711411.139927,4329495.70348,416.756011963,64820,-0.0319138023582333,8.45609852625057,68.55
"79","S5","Downstream",35.56,0,"","","Prairie","George","5/25/15",2,711406.738338,4329495.80605,416.472015381,65152,-0.0319138023582333,5.48211082885973,63.31
"80","S5","Downstream",43.18,0,"","","Prairie","George","5/25/15",2,711402.637292,4329496.37178,416.162017822,65784,-0.0319138023582333,7.98756483662874,68.33
"81","S5","Downstream",40.64,0,"","","Prairie","George","5/25/15",2,711398.394876,4329497.95436,416.297027588,65832,-0.0319138023582333,3.25134630128741,55.56
"82","S5","Downstream",63.5,0,"MC","","Prairie","George","5/25/15",2,711394.729125,4329497.63344,415.950012207,66404,-0.0319138023582333,7.89409925276414,68.46
"83","S5","Downstream",53.34,0,"MC","","Prairie","George","5/25/15",2,711390.890541,4329499.46626,416.061004639,67004,-0.0319138023582333,4.2420326564461,60.24
"84","S5","Downstream",55.88,0,"","","Prairie","George","5/25/15",2,711386.185524,4329500.02351,415.623016357,67340,-0.0319138023582333,5.32445887266658,63.75
"85","S5","Downstream",55.88,0,"","","Prairie","George","5/25/15",2,711382.438009,4329502.09427,415.614013672,67568,-0.0319138023582333,2.06592375342734,48.45
"86","S5","Downstream",68.58,0,"","","Prairie","George","5/25/15",2,711379.014968,4329505.72357,416.323028564,68424,-0.0319138023582333,7.36279229586944,68.47
"87","S5","Downstream",53.34,0,"","","Prairie","George","5/25/15",2,711374.960744,4329507.21304,416.151031494,69228,-0.0319138023582333,3.944605239667,59.87
"88","S5","Downstream",48.26,0,"","","Prairie","George","5/25/15",2,711371.11889,4329506.68457,415.808013916,69420,-0.0319138023582333,2.44334870576859,51.85
"89","S5","Downstream",38.1,0,"","","Prairie","George","5/25/15",2,711366.989913,4329506.15593,415.202026367,69464,-0.0319138023582333,6.38605415471829,67.08
"90","S5","Downstream",25.4,0,"","","Prairie","George","5/25/15",2,711362.257267,4329506.89095,415.007019043,70164,-0.0319138023582333,5.49056587880477,65.26
"91","S5","Downstream",58.42,0,"","","Prairie","George","5/25/15",2,711358.785958,4329506.02568,414.856018066,70184,-0.0319138023582333,5.70466475817375,65.81
"92","S5","Downstream",38.1,0,"","","Prairie","George","5/25/15",2,711355.416237,4329509.68775,414.997009277,72076,-0.0319138023582333,3.19782923883758,57.32
"93","S5","Downstream",58.42,0,"","","Prairie","George","5/25/15",2,711351.427264,4329512.36837,415.216033936,72124,-0.0319138023582333,4.04069231403992,61.26
"94","S5","Downstream",27.94,0,"","","Prairie","George","5/25/15",2,711346.696489,4329512.63194,415.91003418,72156,-0.0319138023582333,9.7330930037424,73.17
"95","S5","Downstream",71.12,0,"","","Prairie","George","5/25/15",2,711344.682217,4329508.97661,414.884033203,72200,-0.0319138023582333,4.91619224450551,64.38
"96","S5","Downstream",88.9,0,"","","Prairie","George","5/25/15",2,711341.327823,4329506.41706,414.672027588,73580,-0.0319138023582333,4.22030132776126,62.47
"97","S5","Downstream",78.74,0,"","","Prairie","George","5/25/15",2,711338.520601,4329506.69441,414.441009521,73600,-0.0319138023582333,3.66877660644241,60.15
"98","S5","Downstream",35.56,0,"","","Prairie","George","5/25/15",2,711335.296317,4329504.41761,414.302032471,73652,-0.0319138023582333,7.62589386827312,70.99
"99","S5","Downstream",86.36,0,"","","Prairie","George","5/25/15",2,711332.131293,4329501.65301,414.099029541,137800,-0.0319138023582333,7.08647740748711,90.43
"100","S6","Upstream",48.26,0,"","","Prairie","George","5/25/15",2,711333.37572,4329498.14268,414.216033936,62964,0.035667437764995,3.98171665868722,57.36
"101","S6","Upstream",63.5,0,"","","Prairie","George","5/25/15",2,711334.013019,4329493.93035,414.202026367,62940,0.035667437764995,4.84734949865378,60.34
"102","S6","Upstream",101.6,0,"","","Prairie","George","5/25/15",2,711334.381865,4329488.74412,414.526031494,61792,0.035667437764995,1.04196924110875,36.23
"103","S6","Upstream",43.18,0,"","","Prairie","George","5/25/15",2,711334.575767,4329483.46144,414.597015381,60704,0.035667437764995,8.35847391118295,66.37
"104","S6","Upstream",58.42,0,"","","Prairie","George","5/25/15",2,711335.067035,4329479.52586,414.50402832,59708,0.035667437764995,6.45217516669072,62.91
"105","S6","Upstream",35.56,0,"","","Prairie","George","5/25/15",2,711336.947387,4329475.33221,414.62701416,59644,0.035667437764995,3.83282705605961,55.54
"106","S6","Upstream",40.64,0,"","","Prairie","George","5/25/15",2,711337.326585,4329471.54357,414.856018066,59604,0.035667437764995,4.62457072897814,58.35
"107","S6","Upstream",30.48,0,"","","Prairie","George","5/25/15",2,711340.606499,4329467.86075,415.417022705,58616,0.035667437764995,8.87769107706845,66.06
"108","S7","Upstream",68.58,0,"","","Prairie","George","5/25/15",1,711340.622961,4329464.24095,415.33102417,26736,0.0795297876252523,4.8081464804709,40.77
"109","S7","Upstream",38.1,0,"","","Prairie","George","5/25/15",1,711337.014028,4329461.6759,415.58102417,26680,0.0795297876252523,6.60580096789636,44.05
"110","S7","Upstream",35.56,0,"","","Prairie","George","5/25/15",1,711335.021948,4329457.67761,415.858032227,26640,0.0795297876252523,4.82528789993376,40.75
"111","S7","Upstream",81.28,0,"","","Prairie","George","5/25/15",1,711336.170791,4329454.30977,415.991027832,26612,0.0795297876252523,3.58250562497415,37.25
"112","S7","Upstream",38.1,0,"","","Prairie","George","5/25/15",1,711334.285117,4329450.18839,416.29901123,26576,0.0795297876252523,2.60062406305224,33.24
"113","S7","Upstream",81.28,0,"MC","","Prairie","George","5/25/15",1,711330.726123,4329448.73642,416.985015869,25696,0.0795297876252523,8.57648445502855,45.69
"114","S7","Upstream",82.55,50,"G","","Prairie","George","5/25/15",1,711327.67966,4329445.49907,416.9090271,25644,0.0795297876252523,1.34497595857829,24.98
"115","S7","Upstream",86.36,60,"G","","Prairie","George","5/25/15",1,711324.886432,4329441.92553,416.930023193,25592,0.0795297876252523,3.18741407454945,35.26
"116","S7","Upstream",66.294,70,"G","","Prairie","George","5/25/15",1,711323.967324,4329437.37887,417.735015869,25204,0.0795297876252523,4.29356194846332,38.55
"117","S7","Upstream",35.56,30,"G","","Prairie","George","5/25/15",1,711322.89931,4329433.05801,417.526031494,24876,0.0795297876252523,3.28817458590493,35.23
"118","S7","Upstream",40.64,20,"G","","Prairie","George","5/25/15",1,711320.936366,4329429.32754,417.978027344,24676,0.0795297876252523,8.42443088721484,44.8
"119","S7","Upstream",66.294,10,"G","","Prairie","George","5/25/15",1,711318.194564,4329425.26111,418.300018311,24536,0.0795297876252523,5.55504318070598,40.89
"120","S7","Upstream",57.15,10,"G","","Prairie","George","5/25/15",1,711315.568089,4329421.74704,418.558013916,24464,0.0795297876252523,7.22046881006099,43.33
"121","S7","Upstream",66.294,10,"","","Prairie","George","5/25/15",1,711313.951384,4329417.15451,418.734008789,23212,0.0795297876252523,8.31109925196506,43.58
"122","S7","Upstream",55.88,0,"","","Prairie","George","5/25/15",1,711312.732112,4329413.07906,418.398010254,22724,0.0795297876252523,5.9341954421252,40.27
"123","S7","Upstream",73.66,0,"","","Prairie","George","5/25/15",1,711312.977252,4329408.21751,418.839019775,22432,0.0795297876252523,8.33319996902719,43
"124","S7","Upstream",58.674,30,"","","Prairie","George","5/25/15",1,711311.103418,4329404.11201,418.960021973,22388,0.0795297876252523,1.87398737622425,27.26
