"","stream_segment_ID","direction","flowing_width","percent_nonflow","code","notes","environment","measurer_name","date","stream_order","UTM_X","UTM_Y","elev_m","acc_m2","slopes","r_param","w_model"
"7","S1","Upstream",10.16,0,"","","Forest","George","5/29/2015",1,731604.365104,4366442.1011,2463.76464844,308100,0.174481062723739,1.42943691415712,28.04
"8","S1","Upstream",12.7,0,"SC","","Forest","George","5/29/2015",1,731603.332774,4366441.51812,2463.76464844,308100,0.174481062723739,9.01512924605049,106.08
"14","S1","Upstream",5.08,0,"SC","","Forest","George","5/29/2015",1,731595.632305,4366433.28694,2467.75268555,299700,0.174481062723739,4.57678802823648,75.92
"22","S1","Upstream",10.16,0,"","","Forest","George","5/29/2015",1,731583.453744,4366422.10218,2471.78149414,299600,0.174481062723739,9.00161971570924,104.81
"23","S1","Upstream",7.62,0,"","","Forest","George","5/29/2015",1,731581.312917,4366421.92632,2471.78149414,299600,0.174481062723739,4.15760237025097,71.45
"24","S1","Upstream",78.232,30,"","","Forest","George","5/29/2015",1,731578.58986,4366421.76831,2473.90893555,299600,0.174481062723739,1.96592876128852,38.64
"26","S1","Upstream",43.18,0,"","","Forest","George","5/29/2015",1,731576.54,4366418.88118,2473.90893555,298700,0.174481062723739,4.17331494973041,71.54
"27","S1","Upstream",40.64,0,"","","Forest","George","5/29/2015",1,731576.278295,4366416.91631,2475.68920898,298700,0.174481062723739,5.54920648434199,84.6
"28","S1","Upstream",27.94,0,"","","Forest","George","5/29/2015",1,731573.984716,4366415.71354,2475.68920898,298700,0.174481062723739,5.63125129137188,85.25
"29","S1","Upstream",28.956,40,"","","Forest","George","5/29/2015",1,731573.174092,4366414.07116,2475.68920898,298700,0.174481062723739,4.29296132642776,72.85
"30","S1","Upstream",59.436,10,"","","Forest","George","5/29/2015",1,731571.51062,4366413.09439,2475.68920898,298700,0.174481062723739,1.88777924049646,37.08
"31","S1","Upstream",7.62,0,"","","Forest","George","5/29/2015",1,731570.49674,4366410.7459,2478.20361328,298700,0.174481062723739,4.89793029660359,78.94
"32","S1","Upstream",29.718,10,"","","Forest","George","5/29/2015",1,731568.584431,4366410.42632,2478.20361328,298700,0.174481062723739,4.56782518792897,75.73
"33","S1","Upstream",67.056,20,"","","Forest","George","5/29/2015",1,731567.02766,4366409.12843,2478.20361328,297700,0.174481062723739,4.41108677117154,74.01
"34","S1","Upstream",37.338,30,"","","Forest","George","5/29/2015",1,731565.57526,4366406.94039,2480.05761719,297700,0.174481062723739,9.25939598632976,105.6
"35","S1","Upstream",83.82,0,"MC","","Forest","George","5/29/2015",1,731564.822618,4366406.43087,2480.05761719,297700,0.174481062723739,6.95034135668539,94.25
"39","S1","Upstream",20.32,20,"SC","","Forest","George","5/29/2015",1,731558.197417,4366401.42309,2482.84399414,296600,0.174481062723739,4.00377185363322,69.42
"42","S1","Upstream",14.224,60,"","","Forest","George","5/29/2015",1,731553.694254,4366398.02415,2484.83007813,296600,0.174481062723739,3.5322589694988,63.62
"43","S1","Upstream",16.51,50,"","","Forest","George","5/29/2015",1,731551.524047,4366397.12271,2487.42578125,296600,0.174481062723739,4.63846640940756,76.22
"52","S1","Upstream",15.24,0,"","","Forest","George","5/29/2015",1,731537.300572,4366388.52581,2491.50390625,295400,0.174481062723739,9.70148242241703,106.96
"53","S1","Upstream",35.052,40,"","","Forest","George","5/29/2015",1,731537.312732,4366386.4048,2491.50390625,295400,0.174481062723739,2.63465820043348,50.36
"57","S1","Upstream",63.5,0,"","","Forest","George","5/29/2015",1,731534.550432,4366379.41143,2493.56201172,295000,0.174481062723739,7.93640833813697,99.3
"58","S1","Upstream",30.48,0,"","","Forest","George","5/29/2015",1,731533.891072,4366377.32006,2493.56201172,295000,0.174481062723739,6.83539865678176,93.2
"59","S1","Upstream",45.72,0,"","","Forest","George","5/29/2015",1,731532.860535,4366376.93079,2495.37817383,295000,0.174481062723739,4.1474402891472,70.9
"61","S1","Upstream",27.94,0,"","","Meadow","George","5/29/2015",1,731530.158232,4366374.77626,2495.37817383,295000,0.174481062723739,9.626276089577,106.62
"147","S2","Downstream",10.16,0,"","","Forest","George","5/29/2015",1,731639.754608,4366463.30683,2455.74291992,310700,-0.130912911585994,5.95442341570742,90.32
"148","S2","Downstream",44.704,60,"","","Forest","George","5/29/2015",1,731641.341797,4366467.28975,2453.18334961,310700,-0.130912911585994,8.49827515031211,105.14
"149","S2","Downstream",5.08,50,"","","Forest","George","5/29/2015",1,731642.822962,4366470.92698,2453.18334961,310800,-0.130912911585994,7.61082787928171,100.78
"151","S2","Downstream",7.62,0,"","","Forest","George","5/29/2015",1,731649.511192,4366475.85773,2450.28198242,310800,-0.130912911585994,9.8379839786794,110.63
"152","S2","Downstream",5.08,0,"","","Forest","George","5/29/2015",1,731652.885622,4366478.93874,2450.28198242,318200,-0.130912911585994,9.54569416772574,110.6
"153","S2","Downstream",38.1,0,"","","Forest","George","5/29/2015",1,731653.539408,4366483.44477,2448.84790039,318200,-0.130912911585994,7.83258229866624,102.92
"154","S2","Downstream",48.26,0,"","","Forest","George","5/29/2015",1,731651.800619,4366487.64063,2448.84790039,318200,-0.130912911585994,3.37178643792868,64.62
"162","S2","Downstream",5.08,0,"","","Forest","George","5/29/2015",1,731659.484462,4366519.9906,2441.5324707,322800,-0.130912911585994,2.51639582682401,51.51
"166","S2","Downstream",17.78,0,"","","Forest","George","5/29/2015",1,731656.783855,4366536.69572,2439.80664063,323600,-0.130912911585994,8.50122470851056,106.92
"168","S2","Downstream",43.18,0,"","","Forest","George","5/29/2015",1,731655.08781,4366544.06815,2438.07470703,324500,-0.130912911585994,5.54387405584566,88.68
"169","S2","Downstream",16.002,70,"","","Forest","George","5/29/2015",1,731654.901181,4366547.81238,2436.50097656,325500,-0.130912911585994,7.01997830043547,99.29
"170","S2","Downstream",44.45,30,"","","Forest","George","5/29/2015",1,731654.535387,4366553.0208,2437.83618164,325500,-0.130912911585994,3.07495453860611,60.85
"172","S2","Downstream",6.096,60,"","","Forest","George","5/29/2015",1,731657.172605,4366560.26069,2434.92456055,326600,-0.130912911585994,1.66721397428773,35.11
"174","S2","Downstream",55.88,0,"","","Forest","George","5/29/2015",1,731660.600278,4366568.19456,2433.45019531,327800,-0.130912911585994,7.48895234800875,102.32
"175","S2","Downstream",20.32,0,"","","Forest","George","5/29/2015",1,731662.431897,4366572.33099,2433.45019531,327800,-0.130912911585994,1.17795238085091,24.3
"176","S2","Downstream",42.672,30,"","","Forest","George","5/29/2015",1,731665.541749,4366575.21457,2433.13232422,333200,-0.130912911585994,3.46558556496166,67.13
"177","S2","Downstream",25.4,0,"","","Forest","George","5/29/2015",1,731667.371733,4366578.88011,2431.3112793,333200,-0.130912911585994,6.43647472420707,96.43
"178","S2","Downstream",12.7,0,"","","Forest","George","5/29/2015",1,731667.892795,4366583.84203,2431.3112793,333200,-0.130912911585994,9.09377560624853,110.85
"179","S2","Downstream",34.29,10,"","","Forest","George","5/29/2015",1,731672.305293,4366586.13299,2429.59985352,335200,-0.130912911585994,3.51848456682637,68.03
"180","S2","Downstream",28.448,20,"","","Forest","George","5/29/2015",1,731674.065278,4366589.8511,2429.76123047,335200,-0.130912911585994,8.86843763408251,110.15
"181","S2","Downstream",27.94,0,"","","Forest","George","5/29/2015",1,731675.703066,4366594.37761,2427.79394531,337800,-0.130912911585994,5.37838406884111,88.71
"183","S2","Downstream",118.872,10,"","","Forest","George","5/29/2015",1,731682.16331,4366599.89466,2427.79394531,337800,-0.130912911585994,4.03798290365376,74.93
"185","S2","Downstream",34.544,20,"","","Forest","George","5/29/2015",1,731689.169664,4366605.14815,2426.8840332,344400,-0.130912911585994,4.76182351959869,83.57
"186","S2","Downstream",12.7,0,"","","Forest","George","5/29/2015",1,731692.897982,4366607.88999,2428.22338867,344400,-0.130912911585994,4.94026042893529,85.35
"187","S2","Downstream",30.48,20,"","","Forest","George","5/29/2015",1,731695.578158,4366611.80357,2428.22338867,344400,-0.130912911585994,9.96358827291988,115.86
"188","S2","Downstream",38.1,0,"","","Forest","George","5/29/2015",1,731694.018955,4366614.88221,2425.81665039,344400,-0.130912911585994,4.0714342368301,75.92
"189","S2","Downstream",25.146,10,"","","Forest","George","5/29/2015",1,731689.667741,4366616.50929,2424.58081055,344400,-0.130912911585994,4.09434645832516,76.2
"190","S2","Downstream",32.512,20,"","","Forest","George","5/29/2015",1,731685.447398,4366618.42904,2424.58081055,344400,-0.130912911585994,2.49761155433953,52.51
"191","S2","Downstream",18.288,60,"","","Forest","George","5/29/2015",1,731681.456565,4366620.02756,2424.14086914,344400,-0.130912911585994,1.18276948365383,24.87
"192","S2","Downstream",34.29,10,"","","Forest","George","5/29/2015",1,731678.249738,4366623.05581,2422.4230957,347200,-0.130912911585994,1.73340207501315,37.4
"193","S2","Downstream",50.8,20,"","","Forest","George","5/29/2015",1,731676.324392,4366626.92824,2422.4230957,347200,-0.130912911585994,7.35786283784546,103.98
"194","S2","Downstream",35.052,70,"","","Forest","George","5/29/2015",1,731675.956455,4366631.05013,2422.4230957,347200,-0.130912911585994,8.479728335049,109.94
"195","S2","Downstream",27.94,0,"","","Forest","George","5/29/2015",1,731674.74095,4366634.84987,2420.8449707,350000,-0.130912911585994,2.80005603050813,58.16
"197","S2","Downstream",8.89,50,"","","Forest","George","5/29/2015",1,731672.248982,4366643.24168,2420.84423828,350000,-0.130912911585994,3.11497757723555,63.26
"198","S2","Downstream",68.58,10,"","","Forest","George","5/29/2015",1,731676.175869,4366646.14399,2419.34521484,350000,-0.130912911585994,6.41626037540846,98.23
"199","S2","Downstream",27.94,0,"","","Forest","George","5/29/2015",1,731677.695653,4366651.04917,2417.98681641,407100,-0.130912911585994,4.61905517894775,87.82
"200","S2","Downstream",11.43,70,"","","Forest","George","5/29/2015",1,731678.35002,4366654.24388,2417.98681641,407100,-0.130912911585994,7.18146653426811,109.82
"201","S2","Downstream",25.146,10,"","","Forest","George","5/29/2015",1,731678.650308,4366659.93837,2416.859375,408900,-0.130912911585994,5.00376415601932,92.14
"202","S2","Downstream",43.18,0,"","","Forest","George","5/29/2015",1,731679.75863,4366663.67337,2416.859375,408900,-0.130912911585994,4.55198899004608,87.21
"203","S2","Downstream",36.576,20,"","","Forest","George","5/29/2015",1,731681.688734,4366667.18825,2416.859375,408900,-0.130912911585994,3.63685787073337,75.39
"204","S2","Downstream",83.82,0,"","","Forest","George","5/29/2015",1,731684.687237,4366671.2052,2414.40917969,408900,-0.130912911585994,2.01036653574556,46.1
"205","S2","Downstream",36.576,20,"","","Forest","George","5/29/2015",1,731683.620576,4366675.0216,2414.40917969,408900,-0.130912911585994,3.49863469041884,73.36
"206","S2","Downstream",83.82,0,"","","Forest","George","5/29/2015",1,731681.188869,4366679.02701,2414.50366211,414300,-0.130912911585994,6.58628594642505,106.48
"207","S2","Downstream",49.784,30,"","","Forest","George","5/29/2015",1,731682.417351,4366682.48073,2414.50366211,414300,-0.130912911585994,9.19430218916386,121.65
"208","S2","Downstream",48.006,10,"","","Forest","George","5/29/2015",1,731686.059476,4366685.44421,2413.19995117,414300,-0.130912911585994,1.05612896406092,23.53
"210","S2","Downstream",8.128,60,"","","Forest","George","5/29/2015",1,731690.500385,4366692.17689,2411.96484375,415300,-0.130912911585994,3.22657527332194,69.56
"213","S2","Downstream",46.736,20,"","","Forest","George","5/29/2015",1,731695.354762,4366704.553,2409.81811523,416400,-0.130912911585994,3.8891403528396,79.51
"214","S2","Downstream",35.56,0,"","","Forest","George","5/29/2015",1,731699.915942,4366705.22944,2409.81811523,416400,-0.130912911585994,1.13210807484575,25.47
"215","S2","Downstream",38.1,0,"","","Forest","George","5/29/2015",1,731702.4681,4366708.88055,2408.17431641,417600,-0.130912911585994,5.76943739224225,100.24
"216","S2","Downstream",5.08,50,"","","Forest","George","5/29/2015",1,731700.052363,4366712.02473,2408.56225586,417600,-0.130912911585994,9.01448103156872,121.2
"235","S2","Downstream",10.16,20,"","","Forest","George","5/29/2015",1,731733.562677,4366784.12306,2399.94555664,441900,-0.130912911585994,3.2010041361209,70.87
"236","S2","Downstream",35.56,30,"","","Forest","George","5/29/2015",1,731734.805028,4366788.28259,2399.94555664,443900,-0.130912911585994,7.91808728105389,118.4
"237","S2","Downstream",20.32,0,"","","Forest","George","5/29/2015",1,731739.04771,4366790.31677,2399.33325195,443900,-0.130912911585994,7.36930906004272,115.01
"238","S2","Downstream",43.434,10,"","","Forest","George","5/29/2015",1,731743.301049,4366791.80632,2399.33325195,443900,-0.130912911585994,4.3564274921082,87.76
"242","S2","Downstream",35.56,0,"","","Forest","George","5/29/2015",1,731755.77276,4366801.22896,2398.6640625,726000,-0.130912911585994,3.76337275607511,97.17
"243","S2","Downstream",2.54,0,"","","Forest","George","5/29/2015",1,731755.683322,4366805.94435,2398.6640625,726000,-0.130912911585994,3.34460767055862,89.29
"244","S2","Downstream",12.7,0,"","","Forest","George","5/29/2015",1,731754.680047,4366810.11038,2397.58544922,726000,-0.130912911585994,1.07525202049874,29.66
"245","S2","Downstream",27.94,0,"","","Forest","George","5/29/2015",1,731757.486433,4366812.74297,2397.97827148,732300,-0.130912911585994,7.85833584913053,144.8
"246","S2","Downstream",29.718,10,"","","Forest","George","5/29/2015",1,731759.688518,4366816.0959,2397.97827148,732300,-0.130912911585994,3.19785478687845,86.62
"247","S2","Downstream",40.64,0,"","","Forest","George","5/29/2015",1,731761.774158,4366821.02244,2396.8203125,732300,-0.130912911585994,8.66306710080244,150.32
"248","S2","Downstream",52.578,10,"","","Forest","George","5/29/2015",1,731763.35896,4366824.29239,2396.8203125,737500,-0.130912911585994,1.27194734057412,35.99
"249","S2","Downstream",26.416,20,"","","Forest","George","5/29/2015",1,731766.640913,4366825.70761,2397.39697266,737500,-0.130912911585994,1.83226568205282,52.98
"250","S2","Downstream",40.64,0,"","","Forest","George","5/29/2015",1,731769.501506,4366827.8982,2396.08422852,737500,-0.130912911585994,3.66414430364966,95.98
"251","S2","Downstream",38.608,20,"","","Forest","George","5/29/2015",1,731771.287794,4366830.65676,2396.08422852,737500,-0.130912911585994,8.45301586552523,149.38
"252","S2","Downstream",52.832,20,"","","Forest","George","5/29/2015",1,731773.891611,4366832.30116,2396.08422852,763400,-0.130912911585994,7.18078530556522,141.87
"253","S3","Upstream",33.02,0,"","","Forest","George","5/29/2015",1,731773.428241,4366828.21555,2396.08422852,25600,0.203739488452564,5.75111432978883,31.6
"254","S3","Upstream",87.376,20,"","","Forest","George","5/29/2015",1,731773.077471,4366823.59123,2397.39697266,25500,0.203739488452564,1.24797557736747,9.12
"255","S3","Upstream",53.34,0,"","","Forest","George","5/29/2015",1,731773.828374,4366818.85893,2397.39697266,25500,0.203739488452564,9.5895280491095,38.91
"256","S3","Upstream",185.166,10,"","","Forest","George","5/29/2015",1,731775.258556,4366814.97007,2398.64892578,22700,0.203739488452564,5.98284807335585,30.68
"257","S3","Upstream",116.586,10,"","","Forest","George","5/29/2015",1,731777.53313,4366810.69524,2399.43457031,22700,0.203739488452564,8.48518868605606,35.56
"258","S3","Upstream",74.676,40,"","","Forest","George","5/29/2015",1,731779.975791,4366806.2861,2400.80175781,19900,0.203739488452564,7.14267399045639,31.5
"259","S4","Downstream",60.96,0,"","","Forest","George","5/29/2015",2,731775.742231,4366834.71757,2396.58325195,763400,-0.518709484864588,7.57789760502055,137.98
"260","S4","Downstream",55.88,0,"","","Forest","George","5/29/2015",2,731777.525407,4366836.89342,2395.12402344,763400,-0.518709484864588,9.91816549911164,154.1
"261","S5","Upstream",30.48,20,"","","Forest","George","5/29/2015",1,731779.156406,4366833.50841,2396.58325195,1300,0.121669300014261,3.44904033350758,7.33
"262","S5","Upstream",27.94,0,"","","Forest","George","5/29/2015",1,731781.87935,4366832.45059,2396.58325195,1300,0.121669300014261,7.69684120104648,10.87
"263","S5","Upstream",10.16,0,"","","Forest","George","5/29/2015",1,731785.568128,4366829.15336,2397.11767578,1300,0.121669300014261,7.99272837396711,11.02
"264","S5","Upstream",33.02,0,"","","Forest","George","5/29/2015",1,731789.876753,4366827.20365,2397.11767578,1300,0.121669300014261,7.81532509368844,10.93
"265","S5","Upstream",50.8,0,"","","Forest","George","5/29/2015",1,731794.417992,4366825.01057,2399.64086914,500,0.121669300014261,3.59521360020153,5.13
"266","S5","Upstream",30.48,0,"","","Forest","George","5/29/2015",1,731798.012475,4366821.66242,2399.64086914,500,0.121669300014261,7.61109402985312,7.33
"267","S6","Downstream",53.34,0,"","","Forest","George","5/29/2015",2,731775.273616,4366840.47766,2394.74682617,2000,-0.045272081108393,1.0099135870114,3.69
"268","S6","Downstream",40.64,0,"","","Forest","George","5/29/2015",2,731774.701803,4366845.84403,2393.42895508,3300,-0.045272081108393,9.02577685727738,17.31
"269","S6","Downstream",86.868,10,"","","Forest","George","5/29/2015",2,731770.780214,4366849.02532,2393.42895508,3300,-0.045272081108393,8.11351199890487,16.76
"270","S6","Downstream",48.006,10,"","","Forest","George","5/29/2015",2,731769.170291,4366853.86329,2393.42895508,3300,-0.045272081108393,2.08528334298171,8.15
"271","S6","Downstream",63.5,0,"","","Forest","George","5/29/2015",2,731771.576725,4366857.70796,2392.25585938,4100,-0.045272081108393,6.57451926311478,17.02
"272","S6","Downstream",86.36,0,"","","Forest","George","5/29/2015",2,731775.037803,4366861.21859,2392.25585938,4100,-0.045272081108393,1.92075180145912,8.32
"273","S6","Downstream",38.1,0,"","","Forest","George","5/29/2015",2,731779.740183,4366862.08351,2392.28027344,4100,-0.045272081108393,7.23045206535608,17.62
"274","S6","Downstream",78.74,0,"","","Forest","George","5/29/2015",2,731784.104043,4366860.75939,2392.28027344,4100,-0.045272081108393,2.10908228810877,8.95
"275","S6","Downstream",86.36,0,"","","Forest","George","5/29/2015",2,731788.63342,4366859.0638,2392.65698242,4100,-0.045272081108393,9.39816975500435,19.14
"276","S6","Downstream",121.92,0,"","","Forest","George","5/29/2015",2,731792.281586,4366855.94313,2392.65698242,4100,-0.045272081108393,3.95986141194589,13.5
"277","S6","Downstream",58.42,0,"","","Forest","George","5/29/2015",2,731795.022653,4366850.73497,2394.93554688,3300,-0.045272081108393,2.9879736895673,10.48
"278","S6","Downstream",60.96,20,"","","Forest","George","5/29/2015",2,731799.894727,4366849.94322,2394.93554688,3300,-0.045272081108393,2.8096228686627,10.07
"279","S6","Downstream",78.74,0,"","","Forest","George","5/29/2015",2,731803.690967,4366847.49703,2395.75537109,3300,-0.045272081108393,3.53376934654079,11.61
"280","S6","Downstream",70.104,40,"","","Forest","George","5/29/2015",2,731808.31992,4366847.02655,2395.75537109,3300,-0.045272081108393,9.0361666935496,17.32
"281","S6","Downstream",62.992,20,"","","Forest","George","5/29/2015",2,731813.014951,4366848.87641,2396.5402832,3300,-0.045272081108393,8.68676888919435,17.12
"282","S6","Downstream",63.5,0,"","","Forest","George","5/29/2015",2,731815.731834,4366853.41109,2396.5402832,3300,-0.045272081108393,5.04322014423087,13.96
"283","S6","Downstream",99.06,0,"","","Forest","George","5/29/2015",2,731815.241252,4366858.40536,2394.85229492,4100,-0.045272081108393,4.81989558273926,14.92
"284","S6","Downstream",75.438,10,"","","Forest","George","5/29/2015",2,731815.336182,4366863.41223,2394.85229492,4100,-0.045272081108393,9.98080578329973,19.46
"285","S6","Downstream",66.04,0,"","","Forest","George","5/29/2015",2,731816.176704,4366868.26817,2393.1652832,959300,-0.045272081108393,2.61671020509675,90.46
"286","S6","Downstream",115.824,20,"","","Forest","George","5/29/2015",2,731814.730433,4366873.65309,2391.48046875,959300,-0.045272081108393,5.00743590318598,137.7
"287","S6","Downstream",20.32,0,"","","Forest","George","5/29/2015",2,731812.20253,4366877.90979,2390.80786133,959300,-0.045272081108393,3.67864554515108,115.2
"288","S6","Downstream",35.56,0,"","","Forest","George","5/29/2015",2,731809.449874,4366882.02568,2390.80786133,959300,-0.045272081108393,7.02338560274802,160.79
"289","S6","Downstream",77.216,20,"","","Forest","George","5/29/2015",2,731805.408545,4366885.05561,2389.18481445,959300,-0.045272081108393,6.95691207936034,160.18
"290","S6","Downstream",86.36,0,"","","Forest","George","5/29/2015",2,731804.427179,4366890.01367,2389.18481445,959300,-0.045272081108393,9.10161965107545,176.59
"291","S6","Downstream",32.004,40,"","","Forest","George","5/29/2015",2,731809.023518,4366892.30488,2387.84936523,959800,-0.045272081108393,2.76579582691193,94.41
"292","S6","Downstream",38.1,0,"","","Forest","George","5/29/2015",2,731813.821932,4366894.02185,2388.07543945,959800,-0.045272081108393,7.14680732693523,161.95
"293","S6","Downstream",54.864,10,"","","Forest","George","5/29/2015",2,731818.12057,4366896.04953,2388.07543945,960300,-0.045272081108393,2.48700028075837,86.93
"294","S6","Downstream",68.58,10,"","","Forest","George","5/29/2015",2,731822.028484,4366899.43954,2388.07543945,960300,-0.045272081108393,1.26301285624504,46.85
"295","S6","Downstream",25.4,0,"","","Forest","George","5/29/2015",2,731824.942528,4366903.32427,2386.99145508,960300,-0.045272081108393,8.76664146524854,174.5
"296","S6","Downstream",20.32,80,"","","Forest","George","5/29/2015",2,731828.436678,4366907.01002,2386.99145508,961400,-0.045272081108393,5.36052459059283,142.66
"297","S6","Downstream",60.96,0,"","","Forest","George","5/29/2015",2,731833.704772,4366907.22504,2387.45166016,961400,-0.045272081108393,1.36142885289155,50.49
"298","S6","Downstream",60.452,30,"","","Forest","George","5/29/2015",2,731838.791499,4366907.17955,2387.45166016,961400,-0.045272081108393,6.94001431344077,160.16
"299","S6","Downstream",32.512,20,"","","Forest","George","5/29/2015",2,731843.772919,4366907.86986,2387.97802734,961400,-0.045272081108393,4.7694995093625,134.32
"300","S6","Downstream",60.96,0,"","","Forest","George","5/29/2015",2,731848.880831,4366910.54224,2386.39697266,961400,-0.045272081108393,5.29454301577061,141.78
"301","S6","Downstream",86.36,0,"","","Forest","George","5/29/2015",2,731852.708042,4366914.33694,2387.02001953,1301200,-0.045272081108393,6.09408756042831,171.34
"302","S7","Upstream",7.62,0,"","","Forest","George","5/29/2015",1,731853.365042,4366909.96881,2388.55957031,26100,NA,6.65876275650226,NA
"303","S8","Downstream",83.566,30,"","","Forest","George","5/29/2015",2,731856.327373,4366917.33649,2387.02001953,32900,-0.218757793987949,2.70560735836625,21.16
"304","S8","Downstream",76.2,0,"","","Forest","George","5/29/2015",2,731857.826681,4366921.68649,2385.55712891,32900,-0.218757793987949,6.27846266888082,36.39
"305","S8","Downstream",63.5,0,"","","Forest","George","5/29/2015",2,731857.967808,4366926.69486,2385.55712891,32900,-0.218757793987949,8.40426773508079,41.14
"306","S8","Downstream",73.66,0,"","","Forest","George","5/29/2015",2,731857.418956,4366930.88112,2384.12866211,34000,-0.218757793987949,2.79887533467263,22.04
